post_title,post_content,price,discount_price,discount_percentage,description,destination,duration,max_people,min_age,includes,itinerary,departure_date,available_spots,thumbnail_url,gallery_url_1,gallery_url_2,gallery_url_3
Cuevas del Guácharo,"Explora la Cueva del Guácharo, hogar de miles de aves nocturnas. Espeleología con guías especializados en el Parque Nacional del mismo nombre.",40,32,20,"Tour espeleológico con guía certificado. Incluye casco con linterna, entrada al parque y museo natural.","Parque Nacional Cueva del Guácharo, Monagas",4 horas,20,10,"Casco con linterna|Guía especializado|Entrada al parque|Bastón de apoyo|Refrigerio","Llegada al parque|Museo natural|Recorrido por la cueva (1.5 km)|Observación de guácharos|Salida y refrigerio",2025-12-20,15,https://images.unsplash.com/photo-1551632811-561732d1e306?w=800&h=600&fit=crop,https://images.unsplash.com/photo-1586447677411-611b83e30f8a?w=800&h=600&fit=crop,https://images.unsplash.com/photo-1545569341-9eb8b30979d9?w=800&h=600&fit=crop,https://images.unsplash.com/photo-1533130061792-64b345e4a833?w=800&h=600&fit=crop
Pesca Deportiva Amazonas,"Pesca de pavón y otras especies amazónicas en los ríos del sur de Venezuela. Aventura de 3 días con guías expertos indígenas.",350,280,20,"Expedición de pesca deportiva con hospedaje en campamento selvático. Incluye todas las comidas, equipo de pesca y guías.","Amazonas",3 días / 2 noches,8,14,"Equipo de pesca completo|Guías indígenas|Campamento selvático|Todas las comidas|Transporte fluvial|Permisos de pesca","Día 1: Navegación río arriba, primera jornada de pesca|Día 2: Pesca de pavón, exploración de afluentes|Día 3: Última jornada, regreso",2025-12-22,6,https://images.unsplash.com/photo-1535083783855-76ae62b2914e?w=800&h=600&fit=crop,https://images.unsplash.com/photo-1564760055775-d63b17a55c44?w=800&h=600&fit=crop,https://images.unsplash.com/photo-1441974231531-c6227db76b6e?w=800&h=600&fit=crop,https://images.unsplash.com/photo-1586447677411-611b83e30f8a?w=800&h=600&fit=crop
Windsurf en Adicora,"Aprende windsurf en las aguas planas de Adicora, península de Paraguaná. Condiciones perfectas para principiantes con instructores certificados.",120,96,20,"Curso básico de windsurf de 2 días. Incluye equipo completo y certificación.","Adicora, Falcón","2 días",6,12,"Equipo completo de windsurf|Instructor certificado|Chaleco salvavidas|Certificación nivel 1|Transporte de equipo","Día 1: Teoría, equilibrio en la tabla, primeras bordadas|Día 2: Navegación básica, giros, certificación",2025-12-28,4,https://images.unsplash.com/photo-1537519936061-39c508a6b9ab?w=800&h=600&fit=crop,https://images.unsplash.com/photo-1505142468610-359e7d316be0?w=800&h=600&fit=crop,https://images.unsplash.com/photo-1527004013197-933c4bb611b3?w=800&h=600&fit=crop,https://images.unsplash.com/photo-1559827260-dc66d52bef19?w=800&h=600&fit=crop
Mountain Bike Sierra Nevada,"Descenso épico en mountain bike desde los páramos andinos hasta los valles. Rutas técnicas con vistas espectaculares de la Sierra Nevada.",90,72,20,"Tour de mountain bike de día completo con guía especializado. Incluye bicicleta de alta gama, equipo de protección y almuerzo.","Sierra Nevada, Mérida",8 horas,10,16,"Bicicleta de montaña profesional|Casco y protecciones|Guía especializado|Transporte al inicio|Almuerzo|Soporte mecánico","Traslado al páramo|Preparación de equipo|Descenso por senderos|Almuerzo en pueblo andino|Últimos tramos|Regreso",2026-01-05,8,https://images.unsplash.com/photo-1571781418606-70265b9cce90?w=800&h=600&fit=crop,https://images.unsplash.com/photo-1544551763-46a013bb70d5?w=800&h=600&fit=crop,https://images.unsplash.com/photo-1506905925346-21bda4d32df4?w=800&h=600&fit=crop,https://images.unsplash.com/photo-1473496169904-658ba7c44d8a?w=800&h=600&fit=crop
Avistamiento de Ballenas,"Observa ballenas jorobadas en su migración anual por las costas de Venezuela. Experiencia única de avistamiento marino con biólogos marinos.",110,88,20,"Tour de avistamiento de ballenas con garantía de avistamiento. Incluye biólogo marino, equipo de observación y refrigerio.","Parque Nacional Mochima, Sucre",6 horas,15,8,"Transporte en lancha|Biólogo marino|Binoculares|Refrigerio|Chalecos salvavidas|Garantía de avistamiento","Salida desde Puerto La Cruz|Navegación hacia zona de avistamiento|Observación de ballenas|Snorkeling en cayo|Regreso",2026-01-10,12,https://images.unsplash.com/photo-1544551763-46a013bb70d5?w=800&h=600&fit=crop,https://images.unsplash.com/photo-1559827260-dc66d52bef19?w=800&h=600&fit=crop,https://images.unsplash.com/photo-1535083783855-76ae62b2914e?w=800&h=600&fit=crop,https://images.unsplash.com/photo-1505142468610-359e7d316be0?w=800&h=600&fit=crop
Teleférico de Mérida,"Sube al teleférico más alto y largo del mundo. Desde Mérida (1,577 m) hasta el Pico Espejo (4,765 m). Vistas impresionantes de los Andes venezolanos.",60,48,20,"Paseo en el Sistema Teleférico Mukumbarí. Incluye transporte, entrada y guía en las estaciones.","Mérida",5 horas,30,6,"Boleto del teleférico|Guía turístico|Transporte a estaciones|Chocolate caliente en la cima|Tiempo libre","Estación Barinitas|Estación La Montaña|Estación La Aguada|Estación Loma Redonda|Estación Pico Espejo|Descenso",2026-01-12,25,https://images.unsplash.com/photo-1506905925346-21bda4d32df4?w=800&h=600&fit=crop,https://images.unsplash.com/photo-1454496522488-7a8e488e8606?w=800&h=600&fit=crop,https://images.unsplash.com/photo-1473496169904-658ba7c44d8a?w=800&h=600&fit=crop,https://images.unsplash.com/photo-1464822759023-fed622ff2c3b?w=800&h=600&fit=crop
Surf en Cuyagua,"Aprende a surfear en las mejores olas de Venezuela. Playa de Cuyagua, famosa por sus olas consistentes y ambiente surfero único.",80,64,20,"Clase de surf de día completo con instructor certificado ISA. Incluye tabla, lycra y transporte desde Maracay.","Cuyagua, Aragua",6 horas,8,10,"Tabla de surf|Lycra|Instructor ISA certificado|Transporte desde Maracay|Almuerzo playero","Salida de Maracay 7:00 AM|Calentamiento en playa|Teoría del surf|Práctica en el agua (3 horas)|Almuerzo|Última sesión",2026-01-15,6,https://images.unsplash.com/photo-1502933691298-84fc14542831?w=800&h=600&fit=crop,https://images.unsplash.com/photo-1527004013197-933c4bb611b3?w=800&h=600&fit=crop,https://images.unsplash.com/photo-1505142468610-359e7d316be0?w=800&h=600&fit=crop,https://images.unsplash.com/photo-1537519936061-39c508a6b9ab?w=800&h=600&fit=crop
Rappel Cascada Velo de la Novia,"Descenso en rappel por la impresionante Cascada Velo de la Novia de 70 metros. Adrenalina pura rodeado de selva nublada.",95,76,20,"Rappel guiado con instructores certificados. Incluye todo el equipo técnico, fotos y transporte.","La Culata, Mérida",6 horas,8,14,"Equipo técnico completo|Instructores certificados|Casco y arnés|Transporte al sitio|Fotos profesionales|Almuerzo","Traslado a La Culata|Entrenamiento de rappel|Descenso de la cascada|Almuerzo|Regreso a Mérida",2026-01-18,6,https://images.unsplash.com/photo-1506905925346-21bda4d32df4?w=800&h=600&fit=crop,https://images.unsplash.com/photo-1533130061792-64b345e4a833?w=800&h=600&fit=crop,https://images.unsplash.com/photo-1464822759023-fed622ff2c3b?w=800&h=600&fit=crop,https://images.unsplash.com/photo-1473496169904-658ba7c44d8a?w=800&h=600&fit=crop
Ecoturismo Delta del Orinoco,"Explora el Delta del Orinoco en curiara, convive con comunidades Warao y descubre la biodiversidad de este ecosistema único.",220,176,20,"Tour de 3 días con alojamiento en palafitos Warao. Incluye todas las comidas, transporte fluvial y actividades culturales.","Delta del Orinoco, Delta Amacuro","3 días / 2 noches",12,10,"Alojamiento en palafitos|Todas las comidas|Transporte en curiara|Guías Warao|Actividades culturales|Pesca tradicional","Día 1: Navegación al Delta, instalación en palafitos|Día 2: Recorrido por caños, artesanía Warao, pesca|Día 3: Visita a comunidades, regreso",2026-01-20,10,https://images.unsplash.com/photo-1535083783855-76ae62b2914e?w=800&h=600&fit=crop,https://images.unsplash.com/photo-1564760055775-d63b17a55c44?w=800&h=600&fit=crop,https://images.unsplash.com/photo-1441974231531-c6227db76b6e?w=800&h=600&fit=crop,https://images.unsplash.com/photo-1586447677411-611b83e30f8a?w=800&h=600&fit=crop
Cabalgata en Páramo Merideño,"Cabalgata por los páramos andinos hasta lagunas glaciares. Experimenta la vida de los arrieros andinos y disfruta de paisajes únicos.",70,56,20,"Cabalgata guiada de día completo con caballos mansos. Incluye almuerzo típico y guía de montaña.","Apartaderos, Mérida",7 horas,10,12,"Caballo manso|Guía de montaña|Almuerzo andino|Equipo de equitación|Poncho para el frío","Traslado a Apartaderos|Preparación de caballos|Cabalgata al páramo|Almuerzo en refugio|Laguna glaciar|Regreso",2026-01-25,8,https://images.unsplash.com/photo-1506905925346-21bda4d32df4?w=800&h=600&fit=crop,https://images.unsplash.com/photo-1454496522488-7a8e488e8606?w=800&h=600&fit=crop,https://images.unsplash.com/photo-1464822759023-fed622ff2c3b?w=800&h=600&fit=crop,https://images.unsplash.com/photo-1473496169904-658ba7c44d8a?w=800&h=600&fit=crop
Stand Up Paddle Mochima,"Explora las bahías del Parque Nacional Mochima en stand up paddle. Aguas cristalinas, playas vírgenes y arrecifes de coral.",55,44,20,"Tour de SUP con instructor certificado. Incluye tabla, remo, chaleco y snorkeling.","Parque Nacional Mochima, Sucre",5 horas,10,12,"Tabla de SUP|Remo ajustable|Chaleco salvavidas|Equipo de snorkeling|Instructor certificado|Refrigerio","Instrucción básica de SUP|Remada por la bahía|Parada para snorkeling|Playa virgen|Regreso remando",2026-01-28,8,https://images.unsplash.com/photo-1505142468610-359e7d316be0?w=800&h=600&fit=crop,https://images.unsplash.com/photo-1544551763-46a013bb70d5?w=800&h=600&fit=crop,https://images.unsplash.com/photo-1559827260-dc66d52bef19?w=800&h=600&fit=crop,https://images.unsplash.com/photo-1583212292454-1fe6229603b7?w=800&h=600&fit=crop
Ciclismo de Ruta Colonia Tovar,"Ruta ciclística desde Caracas hasta Colonia Tovar. Desafío de 42 km con ascenso de 1,000 metros. Para ciclistas intermedios y avanzados.",65,52,20,"Tour ciclístico con bicicleta de ruta, guía ciclista y vehículo de apoyo. Incluye desayuno alemán en Colonia Tovar.","Colonia Tovar, Aragua",6 horas,12,16,"Bicicleta de ruta profesional|Casco y guantes|Guía ciclista|Vehículo de apoyo|Desayuno en Colonia Tovar|Hidratación","Salida desde El Junquito|Ascenso a Colonia Tovar|Desayuno alemán|Tour del pueblo|Descenso en vehículo",2026-02-01,10,https://images.unsplash.com/photo-1571781418606-70265b9cce90?w=800&h=600&fit=crop,https://images.unsplash.com/photo-1544551763-46a013bb70d5?w=800&h=600&fit=crop,https://images.unsplash.com/photo-1506905925346-21bda4d32df4?w=800&h=600&fit=crop,https://images.unsplash.com/photo-1473496169904-658ba7c44d8a?w=800&h=600&fit=crop
Tour Gastronómico Caracas,"Descubre los sabores de Caracas en un tour por los mejores restaurantes y mercados de la ciudad. Degustación de arepas, cachapas, tequeños y más.",45,36,20,"Tour gastronómico con guía foodie local. Visita 5 locales emblemáticos con degustaciones incluidas.","Caracas, Distrito Capital",4 horas,15,12,"Degustaciones en 5 locales|Guía foodie|Transporte entre paradas|Bebidas|Historia culinaria venezolana","Mercado de Chacao|Arepera tradicional|Restaurante de cachapas|Pastelería venezolana|Bar de tequeños",2026-02-05,12,https://images.unsplash.com/photo-1555939594-58d7cb561ad1?w=800&h=600&fit=crop,https://images.unsplash.com/photo-1504674900247-0877df9cc836?w=800&h=600&fit=crop,https://images.unsplash.com/photo-1540189549336-e6e99c3679fe?w=800&h=600&fit=crop,https://images.unsplash.com/photo-1565299624946-b28f40a0ae38?w=800&h=600&fit=crop
Camping en Gran Sabana,"Acampa bajo las estrellas en la Gran Sabana. Visita saltos y pozas, disfruta de atardeceres épicos y convive con la naturaleza.",160,128,20,"Camping de 2 días con guía certificado. Incluye equipo completo de campamento, comidas y visita a 5 saltos.","Gran Sabana, Bolívar","2 días / 1 noche",12,14,"Carpa y sleeping bag|Todas las comidas|Guía certificado|Transporte 4x4|Visita a 5 saltos|Fogata nocturna","Día 1: Salto Kama, Salto Aponwao, instalación de campamento, fogata|Día 2: Salto Yuruani, Salto La Cortina, Quebrada de Jaspe, regreso",2026-02-08,10,https://images.unsplash.com/photo-1504280390367-361c6d9f38f4?w=800&h=600&fit=crop,https://images.unsplash.com/photo-1551632811-561732d1e306?w=800&h=600&fit=crop,https://images.unsplash.com/photo-1441974231531-c6227db76b6e?w=800&h=600&fit=crop,https://images.unsplash.com/photo-1586447677411-611b83e30f8a?w=800&h=600&fit=crop
Canopy en Selva Venezolana,"Deslízate por las copas de los árboles en tirolesas de hasta 200 metros. Canopy tour con 8 líneas y puentes colgantes en la selva.",75,60,20,"Canopy tour con guías certificados. Incluye todo el equipo de seguridad, entrenamiento y transporte.","Parque La Llovizna, Bolívar",4 horas,12,12,"Equipo completo de canopy|Guías certificados|8 líneas de tirolesa|Puentes colgantes|Casco y arnés|Transporte","Llegada al parque|Entrenamiento de seguridad|Recorrido por 8 líneas|Puentes colgantes|Mirador final|Regreso",2026-02-12,10,https://images.unsplash.com/photo-1506905925346-21bda4d32df4?w=800&h=600&fit=crop,https://images.unsplash.com/photo-1441974231531-c6227db76b6e?w=800&h=600&fit=crop,https://images.unsplash.com/photo-1464822759023-fed622ff2c3b?w=800&h=600&fit=crop,https://images.unsplash.com/photo-1533130061792-64b345e4a833?w=800&h=600&fit=crop
